lat0,lon0,tmin_C__delta_after_minus_before,tmax_C__delta_after_minus_before,vpd__delta_after_minus_before,duration__delta_after_minus_before,intensity__delta_after_minus_before,frequency__delta_after_minus_before
-17,45.5,0.703855857,0.877964137,0.119965554,0.175,0.041832236,0.35
-17,45.75,0.5926052,0.685343874,0.114927599,0.246875,0.095066627,0.226666667
-17,46,0.550767478,0.498915139,0.098932873,0.147311828,0.054451187,0.17
-17,46.25,0.538177412,0.625992917,0.102651901,0.033333333,0.025334273,0.15
-16.75,45.5,0.686373119,0.735711337,0.109787367,0.016883117,0.060418479,0.333333333
-16.75,45.75,0.551609685,0.633132641,0.105803629,0.178571429,0.105150493,0.28
-16.75,46,0.492954313,0.612513381,0.101870849,0.148958333,0.037833998,0.236666667
-16.5,46.25,0.403650959,0.7149685,0.091719319,0.117204301,0.046488451,0.196666667
-16.25,46.5,0.345618497,0.798645626,0.06977296,0.205357143,0.069201817,0.183333333
-16,23.5,0.063737605,1.003032821,0.253324662,0.5375,0.224448451,0.103333333
-16,46.25,0.487077899,0.755431346,0.060351875,0.00094697,0.027444265,0.236666667
-16,47,0.462800774,0.784191132,0.077514744,0.064814815,0.016132818,0.003333333
-15.75,39.5,0.945169107,1.034460852,0.150036692,0.177339901,0.00763077,0.046666667
-15.75,39.75,0.859173805,1.100830792,0.146240893,0.009856631,0.00620666,0.16
-15.75,46.5,0.341873638,0.699156874,0.044952654,0.225183824,0.037722482,0.176666667
-15.75,50,0.347703767,0.225132074,0.019368473,0.220238095,0.076132436,0.2
-15.5,39.5,0.886926412,0.995274204,0.153165459,0.313479624,0.073389421,0.006666667
-15.5,40.25,0.756667331,0.825358195,0.102095241,0.16091954,0.035565991,0.13
-15.5,40.5,0.565008149,0.584954685,0.055599735,0.3,0.077430311,0.103333333
-15.5,46.75,0.375544406,0.822389045,0.094294244,0.253561254,0.073487992,0.22
-15.5,49.5,0.156192809,0.523630487,0.018143331,0.230263158,0.106055233,0.146666667
-15.5,50,0.288052048,0.336540384,0.016424404,0.65,0.073053838,0.146666667
-15.5,50.25,0.452874475,0.73038123,0.023801299,0.260233918,0.073703193,0.113333333
-15.25,39,0.95949569,0.978177329,0.152417411,0.05,0.003927541,0.066666667
